"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"54869",150.496821878377,-2.01776370574103,0.541564559973569,-3.72580455752035,0.00019469321851693,0.000824784518545546,"yes"
"55561",407.680692480682,-2.26073775886727,0.60711455199266,-3.72374167518653,0.000196291778192263,0.000831028123433332,"yes"
"6974",1.77525740499712,-4.13980010194803,1.11210650453826,-3.72248528810363,0.000197271406537549,0.000834645131766723,"yes"
"6553",39.2250066194096,-1.18650103499064,0.318889322145219,-3.72072989778666,0.000198647811875735,0.000839935226562368,"yes"
"6725",20.6603450461827,-2.19345807279604,0.590258139208597,-3.71609966401644,0.000202321802739172,0.000854204873542,"yes"
"644656",17.6614009787524,-1.81896339953412,0.489683651720968,-3.71456836090293,0.000203550839629061,0.000858668347755604,"yes"
"400084",2.92806309364567,-4.85366571270904,1.30714529337382,-3.71317996347708,0.000204671238165943,0.000863030387599726,"yes"
"100289473",7.28214817445816,-1.91100994012284,0.514802077931552,-3.7121255372573,0.000205525998677798,0.000866451832012897,"yes"
"28893",48.4167051577315,-3.15724084118076,0.850957333495868,-3.71022226015765,0.00020707736678388,0.00087207234089958,"yes"
"1365",205.532074825767,-3.39353006317183,0.91473280633832,-3.70985935964859,0.000207374414060829,0.000872955436780496,"yes"
"125965",6.47439273787321,-2.11127121199454,0.569156405159451,-3.70947457123506,0.000207689814515401,0.000873915015309331,"yes"
"105371697",2.54172817003433,-4.00690713021237,1.08022046876118,-3.70934197794601,0.000207798601916377,0.000874188730057383,"yes"
"392862",14.2063121825459,-1.89095929277825,0.509875959937389,-3.70866532521058,0.000208354601931315,0.000875974637947242,"yes"
"28393",13.906938076696,-3.35271666312398,0.904136458981464,-3.70819761753763,0.000208739729845571,0.000876856027831743,"yes"
"11075",75.3830758397721,-3.1138412281669,0.840060952378334,-3.70668487727131,0.000209989959917818,0.000881366931725625,"yes"
"28783",6.34229242574428,-5.97210314777711,1.61150904610736,-3.70590730607618,0.000210635330112103,0.000883704522029931,"yes"
"23547",17.1805045737194,-2.51413981737909,0.67956512543061,-3.69963043024904,0.00021591365358694,0.000903384172962564,"yes"
"23308",8.86453598509123,-2.97542260933731,0.804687053929748,-3.69761461279464,0.000217634965245762,0.000909634054865549,"yes"
"699",16.7287755231951,-1.32283290500486,0.357780982809311,-3.6973259300087,0.000217882524316997,0.000910478363688859,"yes"
"146429",2.52968948259997,-4.0067227570094,1.08377819488386,-3.69699517477263,0.000218166487485896,0.000911474411659823,"yes"
"313",80.3449613846342,-1.14975436126477,0.311004150770768,-3.6969100200602,0.000218239651553782,0.00091158953304189,"yes"
"340205",9.21216322338454,-1.57761176501894,0.426779094463548,-3.69655352261799,0.00021854620072294,0.000912679254878687,"yes"
"9227",44.0842939599984,-1.85656604072607,0.502422619673909,-3.69522781822811,0.000219689713448145,0.000916879996385063,"yes"
"170679",10.5909868602551,-1.90721232436402,0.5162474921443,-3.69437595995317,0.000220427462684026,0.000919574973213447,"yes"
"80725",83.6930716716811,-1.00634146308667,0.272543437440892,-3.69240761229088,0.000222141049907681,0.000925757540555632,"yes"
"57615",6.7813141342521,-2.0491136662699,0.55508927932038,-3.69150286739229,0.000222932883005538,0.000928670181874048,"yes"
"10570",15.2134711444171,-2.91740132300028,0.790834362733582,-3.68901689212903,0.000225122273578791,0.000936979146076692,"yes"
"441461",16.0315862549648,-1.67538204119037,0.454159584584252,-3.68897211037405,0.000225161897163474,0.000936979146076692,"yes"
"4808",3.0210991483186,-4.89909810731971,1.328395501274,-3.68798155565961,0.000226040030873738,0.000940437572246753,"yes"
"3683",169.039172033407,-1.1920905092441,0.323332183939546,-3.68689096989795,0.000227010560259834,0.000943689697985296,"yes"
"162979",28.5270073773338,-2.40983825989501,0.653725160899981,-3.68631713146453,0.000227522797187665,0.000945425810268162,"yes"
"1366",667.79639024832,-1.69394619967364,0.459693180205532,-3.68494959815646,0.000228747902572741,0.000950121431571358,"yes"
"115650",2.9196780820753,-4.21516593693395,1.14414143933907,-3.6841301188854,0.000229484997286843,0.000952787004730395,"yes"
"9304",8.42789461329905,-1.92350588578542,0.522315204437893,-3.68265344267638,0.000230818849718282,0.000957330638995498,"yes"
"28662",3.51228909460821,-3.87863769763247,1.05329358126024,-3.68238994962046,0.000231057621439884,0.000958122132721776,"yes"
"100506834",51.3928606240934,-1.34378383660156,0.364931332938033,-3.68229229806842,0.000231146170026825,0.000958290499963938,"yes"
"9212",10.9026376134208,-2.14360612548458,0.582311372962313,-3.68120257480067,0.00023213647357941,0.000961797615553829,"yes"
"100506606",24.8225157744386,-2.03813891747964,0.553914390328045,-3.67951971111022,0.000233673628502587,0.000967765191231083,"yes"
"9514",7.12135629451925,-2.13509971779212,0.580631311316462,-3.67720389200373,0.000235804556161303,0.000975377827813732,"yes"
"89780",1.70252284802136,-4.07377304608737,1.10797413967703,-3.67677628944917,0.000236200008436891,0.00097640735648979,"yes"
"5154",806.364011890231,-1.72480376199869,0.469337382916993,-3.67497630655119,0.000237871488501353,0.000982633550584103,"yes"
"202915",76.5060514075727,-2.30300167788445,0.627726587851899,-3.66879740710903,0.000243694091490263,0.00100427088796204,"yes"
"51050",497.554796010173,-2.33122328233919,0.63553333158668,-3.66813692764002,0.000244324333893977,0.00100628751454058,"yes"
"1298",160.240853175593,-2.35691584072849,0.64258183033419,-3.66788435256989,0.000244565749859448,0.00100682505508564,"yes"
"100287362",3.58639877711313,-4.52273747870095,1.23356251666341,-3.66640313531431,0.000245986035014168,0.00101111935200237,"yes"
"28426",109.048235331509,-3.27096257678702,0.892651090445852,-3.66432373387152,0.00024799295599495,0.00101778957114396,"yes"
"84457",13.9869482725938,-1.5493777017029,0.423079040842407,-3.66214714540782,0.000250110121484599,0.00102584670595376,"yes"
"414764",6.86723656367202,-1.93536851351542,0.528646311427506,-3.66098934520008,0.0002512432081192,0.00102964896466649,"yes"
"105369195",31.5466512162299,-1.00754974030621,0.275423199941818,-3.65818762006631,0.000254005082009516,0.00104011464333624,"yes"
"28586",4.08633538908398,-3.50352537926681,0.957759533449815,-3.65804281440796,0.000254148598941636,0.00104048915343025,"yes"
"100128108",13.2323621700574,-1.71899716219496,0.470523265149852,-3.65337336007709,0.000258817466590141,0.00105678952088603,"yes"
"55349",290.410851720755,-1.92640631567127,0.5273556164392,-3.65295496173667,0.00025923971499137,0.00105829742310713,"yes"
"2749",38.398137628829,-1.28526088868656,0.352026686471696,-3.65103254406225,0.000261188137820628,0.00106516370345254,"yes"
"1159",9.29773076888757,-2.07294672463852,0.567848561661097,-3.65052738458057,0.000261702404040161,0.00106704323736244,"yes"
"158787",21.3389132232635,-1.02167889290305,0.279962322747373,-3.64934425060107,0.000262910584821029,0.00107109536461841,"yes"
"153478",156.660415067422,-2.21771327731696,0.607814160278019,-3.64866997554411,0.000263601471509278,0.0010728166587367,"yes"
"100505920",5.5748132525707,-2.62010534877567,0.718175913752772,-3.64827794778652,0.000264003939484153,0.00107373419274376,"yes"
"79645",95.2589820698786,-2.37525349949424,0.651068128101791,-3.64824109332362,0.000264041805040056,0.00107373419274376,"yes"
"3820",69.3560168703941,-1.44142796249819,0.39513452811363,-3.64794230810342,0.000264348975375372,0.00107476464011952,"yes"
"7161",62.8623677137186,-2.24454141712651,0.616155331794197,-3.64281748660777,0.000269670052609612,0.0010948395981126,"yes"
"695",70.3997036699536,-1.05339312167322,0.289306683888073,-3.64109500519096,0.000271480925029789,0.00110118509689664,"yes"
"286256",6.3925349087255,-2.26163948703791,0.621248961542374,-3.64047206038451,0.000272138638696645,0.00110329309769368,"yes"
"197358",61.7891108389591,-1.03428746351729,0.284155881795104,-3.63985942146742,0.000272786927659528,0.00110524879852645,"yes"
"254122",6.92238933756504,-2.25706440401911,0.620271208231046,-3.63883471305405,0.00027387450110899,0.00110875625960409,"yes"
"124641",4.21265756829529,-3.5635797392061,0.979647406182239,-3.63761463228249,0.000275174732658558,0.00111311827193819,"yes"
"126006",33.8314919870088,-2.86433261489618,0.787904332848512,-3.63538122012954,0.000277569864822949,0.00112167183344446,"yes"
"1844",18.3167192069644,-1.59379760746144,0.438431318832657,-3.63522754648322,0.000277735382191091,0.00112172688125402,"yes"
"5777",312.971926604758,-1.06723140073993,0.293581591772453,-3.63521225665643,0.000277751855472364,0.00112172688125402,"yes"
"100423062",1334.44742554756,-2.75665703849296,0.75857661754447,-3.63398630373861,0.000279075682970851,0.00112616306794638,"yes"
"10913",27.328943157876,-2.56187015819411,0.705134744959434,-3.63316398249741,0.000279966965289214,0.00112862035805476,"yes"
"1446",1697.76678853184,-3.50047322503574,0.963570002487366,-3.63281672945359,0.000280344139912303,0.00112991295108433,"yes"
"91057",205.40413609907,-1.11189290262846,0.30638796149611,-3.6290358707275,0.000284481713163809,0.00114474250070567,"yes"
"79656",89.388561331328,-1.05508595340571,0.290928361095695,-3.62661773308057,0.000287157921287711,0.00115403658232344,"yes"
"100288152",36.4103709160632,-1.26736660512383,0.34956190382044,-3.62558560092648,0.000288307372395679,0.00115747261898354,"yes"
"89848",170.052125713091,-1.22454377712746,0.337752742146699,-3.6255627988228,0.000288332814935912,0.00115747261898354,"yes"
"284837",22.0305847456249,-1.44954021307378,0.399952521316436,-3.62428072287843,0.000289766741409726,0.00116226527404299,"yes"
"94027",3.73643992669619,-3.36889094384201,0.929870037675211,-3.62296967032581,0.000291239983244321,0.00116747162958368,"yes"
"283807",51.1261846773116,-1.00626421727266,0.277848236437894,-3.62163255082449,0.00029274974194289,0.00117234804492337,"yes"
"28935",96.143582757728,-3.16369517040935,0.87392716530397,-3.62009020432378,0.000294500329585673,0.00117864999748275,"yes"
"28876",13.9551433324849,-2.56173296570581,0.707706469825496,-3.61976762249676,0.00029486770275478,0.00117988403903099,"yes"
"342897",58.6725386318146,-2.5595444918107,0.707656383296119,-3.61693125679,0.000298116436157333,0.00119097605626156,"yes"
"101559451",54.3032190404993,-1.21533518685818,0.336066301992404,-3.61635540264805,0.000298780092201095,0.00119338882950106,"yes"
"2125",159.822210170229,-2.45019280802592,0.677587352561465,-3.61605451867354,0.000299127402820683,0.00119453734269271,"yes"
"100287227",19.351063566641,-1.65768858428986,0.458505738054949,-3.61541513378224,0.00029986670117906,0.00119725045075227,"yes"
"146433",278.015086710907,-1.49636495041757,0.414049751995624,-3.61397378746259,0.000301539560900479,0.00120272823861861,"yes"
"373863",17.0989750917004,-1.09591128101457,0.303285403866965,-3.61346529388302,0.000302131812880423,0.00120436947428022,"yes"
"407025",6.69264167752594,-2.35825169119597,0.652868893159286,-3.61213670295148,0.000303684393118031,0.0012086300209578,"yes"
"152756",22.3894916562719,-1.17313708644216,0.32500156921198,-3.60963514510601,0.000306627989706453,0.00121937398134956,"yes"
"105377206",5.0935821911484,-2.48498240863576,0.689813522359079,-3.60239735535688,0.00031529591447397,0.00124986502233067,"yes"
"10024",8.48683583756347,-1.9162675039068,0.532478867760929,-3.59876723740174,0.000319729192190424,0.00126603241148748,"yes"
"28475",13.5154819675177,-2.51692311320259,0.699566997254036,-3.59782997637411,0.000320883261785547,0.00126999876303123,"yes"
"401164",3.19744390489712,-3.71988827806876,1.03481553431979,-3.59473563615756,0.000324721135074034,0.00128417121620988,"yes"
"100873942",4.76479556855471,-5.55906735645537,1.54649791274287,-3.59461678586802,0.000324869396933678,0.00128450339001255,"yes"
